#rev	#lex	#lex_freq	#homonym	#pos	#grams	#grams2	#flextype	#number	#form2	#form3	#translation	#comment	– не учит., 0 без перевода, ! что-то не так (с синонимами), нужен синоним g посм грам, p местоимения, ? сложно, ?? Непонятно, с — хочется спросить носителя, o — написал свою глоссу, h дефис, s генитив, m - явно опечатка	#gloss									
լենտյահ	հայտնել	93660		V		tr	V11	1			declare, report, inform			inform	declare	report	inform						
լերգ	գրել	92994		V		tr	V11	1			write, write (for)			write	write	write (for)							
նեդրԱ	#Արդեն	92291		N	topn,pl	inanim	N12							PN									
քսոխ	խոսք	92145		N		inanim	N11				speech, address			speech	speech	address							
հագախան	նախագահ	91976		N		anim,hum	N12				president, chairman			president	president	chairman							
խւոլգ	գլուխ	91764		N		inanim	N14				head, mind, chief			head	head	mind	chief						
լերեբ	բերել	90952		V		tr	V11a	1			bring			bring	bring								
նիկ	կին	90478		N		anim,hum	N63a				woman, wife			woman	woman	wife							
քնայկ	կյանք	90209		N		inanim	N11				life, existence, way/mode of life/living			life	life	existence	way/mode of life/living						
լենատ	տանել	89381		V		tr	V14c	1			take, take/carry away, take to			take	take	take/carry away	take to						
նամն	նման	88908		A			N12				similar, the same as, like			similar	similar	the same as	like						
վիթ	թիվ	86994		N		inanim	N13				number, quantity			number	number	quantity							
լենռա	առնել	86506		V		tr	V12a	1			take, buy			take	take	buy							
նիջրեվ	վերջին	85807		A			N12				last			last	last								
լեծրոգ	գործել	85254		V		intr/tr	V11				act, work, make perform			act	act	work	make perform						
լենղոթ	թողնել	84885		V		tr	V14d	1			leave			leave	leave								
լանատս	ստանալ	84115		V		tr	V22	1			receive, obtain, raise		?c	receive	receive	obtain	raise						
լեսոխ	խոսել	83633		V		intr/tr	V11	1			speak, talk, indicate			speak	speak	talk	indicate						
քաղաք	քաղաք	81876		N		inanim	N12				town, city			city	town	city							
աս	սա	81828		PRON,dem			P21				this			this	this								
զեմ	մեզ	81248		N		inanim	N11				urine, water			water	urine	water							
լեսլ	լսել	80557		V		tr	V11	1			hear, listen (to), obey			hear	hear	listen (to)	obey						
դրւովողոժ	ժողովուրդ	80458		N		anim,hum,coll	N14/N12				people, nation, population			people	people	nation	population						
րիդնխ	խնդիր	79147		N		inanim	N14				problem, question, request			question	problem	question	request						
հրախշա	աշխարհ	77381		N		inanim	N12				world, land, the globe			world	world	land	the globe						
ապա	ապա	77150		ADV							then, afterwards, later on; if...then; well, what, why; so			so	then	afterwards	later on	;	if...then	;	well	what	why
լեծրակ	կարծել	75969		V		tr	V11	1			think (of, about), presume, consider			think	think (of	about)	presume	consider					
տսը	ըստ	75344		PREP							according to			according	according to								
կատ	տակ	74863	2	N		inanim	N12/N11				sole			sole	sole								
կատ	տակ	74863	1	POST			N12/N11				under			under	under								
նւոնա	անուն	74714		N		inanim	N42				name, title, nickname			name	name	title	nickname						
լենկնը	ընկնել	73722		V		intr	V12	1			fall, drop, perish			fall	fall	drop	perish						
շիրւո	ուրիշ	72351		PRON,A			N12				other, another, somebody			other	other	another	somebody						
լեցաբ	բացել	71836		V		tr	V11	1			open, inaugurate, bare			open	open	inaugurate	bare						
լետախշա	աշխատել	71793		V		intr	V11	1			work, function			work	work	function							
լենդ	դնել	71600		V		tr	V14b	1			put down, place, put on			put	put down	place	put on						
իպեդ	դեպի	71258		PREP							to, meet			to	to	meet							
ցաբ	բաց	71155		A			N11				open, frank, undisguised			open	open	frank	undisguised						
սեպրո	որպես	70368		PRON,ADV,intrg							as, in the capacity of			as	as	in the capacity of							
ամիհ	հիմա	69473		ADV							now, at present, today			now	now	at present	today						
լեշն	նշել	69284		V		tr	V11	1			mark, mention, celebrate			mark	mark	mention	celebrate						
մեդ	դեմ	69241		N		inanim	N11				opposite, facing, against			opposite	opposite	facing	against						
նաջրշ	շրջան	69088		N		inanim	N12				circle, stage			circle	circle	stage							
ռաճտապ	պատճառ	68626		N		inanim	N12				cause, reason, motive			cause	cause	reason	motive						
սւոյմ	մյուս	68465		A			N12				other, next			other	other	next							
մաժ	ժամ	68447		N		inanim	N11/N53				hour, o'clock, time			hour	hour	o'clock	time						
ռեդ	դեռ	67964		ADV							still, as far back as, for the time being			still	still	as far back as	for the time being						
ղւոյգ	գյուղ	66925		N		inanim	N11				village, country			country	village	country							
քցաթնը	ընթացք	65478		N		inanim	N12				motion, course			course	motion	course							
լենւոդնը	ընդունել	64593		V		tr	V11	1			receive, accept			receive	receive	accept							
լերպա	ապրել	64198		V		intr	V11	1			live, exist, reside			live	live	exist	reside						
ցոջիմ	միջոց	64158		N		inanim	N12				means, remedy, tool			means	means	remedy	tool						
լետսն	նստել	63994		V		intr	V11	1			sit, sink, cover			sit	sit	sink	cover						
լեծղետս	ստեղծել	63893		V		tr	V11	1			create, form, organize			create	create	form	organize						
նյւոն	նույն	63625		A			N11				the same, the same that, one and the same			same	the same	the same that	one and the same						
ցնեհ	հենց	63538		ADV							just, only			just	just	only							
ցնառա	առանց	63311		PREP							without, minus, except			without	without	minus	except						
ժւո	ուժ	62729		N		inanim	N11				strength, power			power	strength	power							
րօսյա	այսօր	62138		ADV			N53				today, at present			today	today	at present							
ւոչնի	ինչու	62067		PRON,ADV,intrg							why, for what reason			why	why	for what reason							
լանակսահ	հասկանալ	61246		V		tr	V22	1			understand, conceive, realize			understand	understand	conceive	realize						
կիջղա	աղջիկ	61012		N		anim,hum	N33				girl, virgin, daughter			girl	girl	virgin	daughter						
ղետսյա	այստեղ	60765		ADV			N12				here, hither			here	here	hither							
րյահ	հայր	60682		N	apl+	anim,hum	N71				father			father	father								
քնւովարի	իրավունք	60655		N		inanim	N12				right, law, licence			right	right	law	licence						
իլերակ	կարելի	60139		A			N12				possible			possible	possible								
նյաձ	ձայն	59700		N		inanim	N11				vice, sound, part			sound	vice	sound	part						
ախերե	երեխա	59579		N		anim,hum	N15/N26				child, underage	N15ay		child	child	underage							
ջղոբմա	ամբողջ	59084		PRON,A			N12				all, whole			all	all	whole							
րետ	տեր	59060		N		anim,hum	N64				master, sovereign			master	master	sovereign							
լեմզակ	կազմել	59057		V		tr	V11	1			put together, compose, found			compose	put together	compose	found						
չիք	քիչ	59031		N		inanim	N13				little			little	little								
լեծատմ	մտածել	58717		V		tr	V11	1			think (of, about), contemplate, think			think	think (of	about)	contemplate	think					
լաւերե	երեւալ	58503		V		intr	V21	1			be seen, emerge, appear			appear	be seen	emerge	appear						
լենգնակ	կանգնել	58345		V		intr	V11	1			stand			stand	stand								
ւետեհվորո	որովհետեւ	58021		CONJ							because, since			since	because	since							
ցորպդ	դպրոց	57928		N		inanim	N12				school, school building			school	school	school building							
սեպնյա	այնպես	57272		PRON,ADV							so			so	so								
նւոյթւոնախշի	իշխանություն	57025		N		inanim	N41				power, rule, principality			rule	power	rule	principality						
լենգ	գնել	56880		V		tr	V11	1			buy			buy	buy								
րյամ	մայր	56404		N	apl+	anim,hum	N71				mother, queen, dam			mother	mother	queen	dam						
լենԳ	Գնել	55760		N	persn,m,apl+	anim,hum	N12							PN									
լերամահ	համարել	55629		V		intr	V11	1			sum, regard		?c	regard	sum	regard							
հրապանաճ	ճանապարհ	55555		N		inanim	N12				road, main road			road	road	main road							
լանաղորակ	կարողանալ	55532		V		intr	V22	1			be able to, be good at, be incapable of	կարենալ ?		be.able.to	be able to	be good at	be incapable of						
շորո	որոշ	55101		A			N12				some, certain			some	some	certain							
տրիս	սիրտ	54716		N		inanim	N13				heart			heart	heart								
րեվ	վեր	54598		ADV			N11				up			up	up								
լեվնտգ	գտնվել	54282		V	med	intr	V11	2			be found, be			be.found	be found	be							
լեկանւորաշ	շարունակել	53619		V		tr	V11	1			continue			continue	continue								
լեշիհ	հիշել	53246		V		tr	V11	1			remember, keep in mind			remember	remember	keep in mind							
լանարձրաբ	բարձրանալ	52984		V		intr	V22	1			rise, rise to one's feet, climb			rise	rise	rise to one's feet	climb						
լանայակրեն	ներկայանալ	52622		V		intr	V22	1			appear, arise, offer			appear	appear	arise	offer						
րւո	ուր	52563		PRON,ADV,intrg							where			where	where								
նակաքաղաք	քաղաքական	52137		A			N12				political			political	political								
քներօ	օրենք	52018		N		inanim	N12				law, act			law	law	act							
լավթ	թվալ	51484		V		intr	V21	1			seem/appear (to), look			seem	seem/appear (to)	look							
մժյա	այժմ	51449		ADV							now			now	now								
լենցրահ	հարցնել	51076		V		tr	V14	1			ask (smb. about smth.), inquire of smb. (about/after/for smth.), demand (smth. of/from. smb.)			ask	ask (smb. about smth.)	inquire of smb. (about/after/for smth.)	demand (smth. of/from. smb.)						
լենախսատապ	պատասխանել	50886		V		tr	V11	1			answer			answer	answer								
լեպակ	կապել	50778		V		tr	V11	1			tie, fasten, chain			fasten	tie	fasten	chain						
քտիմ	միտք	50675		N		inanim	N13				thought, conception, idea			thought	thought	conception	idea						
նւոյթւոցկասւոկ	կուսակցություն	50575		N		inanim	N41				(political) party			party	(political) party								
մադնա	անդամ	50500		N		inanim	N12				member, limb, part			part	member	limb	part						
րձրաբ	բարձր	50108		A			N11				high, lofty			high	high	lofty							
նաքնյա	այնքան	50016		PRON,ADV			N12				so much/many			so.much	so much/many								
ծավտսա	աստված	49799		N		anim,hum,super	N91				God			God	God								
մա	ամ	49657		N		inanim	N11				year			year	year								
նակակյահ	հայկական	49647		A			N12				Armenian			Armenian	Armenian								
էւերո	որեւէ	49636		PRON,A							some			some	some								
